city,county_name,state_id,lat,lng,population
Loma Linda,San Bernardino,CA,34.0451,-117.2498,24482
Dinuba,Tulare,CA,36.5453,-119.3987,24461
San Fernando,Los Angeles,CA,34.2886,-118.4363,24322
Seal Beach,Orange,CA,33.7542,-118.0714,23896
Calabasas,Los Angeles,CA,34.1375,-118.6689,23853
Coronado,San Diego,CA,32.664,-117.16,23731
Half Moon Bay,San Mateo,CA,37.4688,-122.4383,23653
Ashland,Alameda,CA,37.6942,-122.1159,23635
West Puente Valley,Los Angeles,CA,34.0512,-117.9681,23629
Rosemont,Sacramento,CA,38.5477,-121.3553,23617
Oakdale,Stanislaus,CA,37.7616,-120.847,23596
Cudahy,Los Angeles,CA,33.9631,-118.183,23569
Winter Gardens,San Diego,CA,32.8376,-116.9268,23088
West Rancho Dominguez,Los Angeles,CA,33.9057,-118.2682,22932
Patterson,Stanislaus,CA,37.4758,-121.1535,22930
Laguna Beach,Orange,CA,33.5448,-117.7612,22827
Marina,Monterey,CA,36.6812,-121.7895,22781
Corcoran,Kings,CA,36.0839,-119.561,22581
Lakeside,San Diego,CA,32.856,-116.904,22560
West Carson,Los Angeles,CA,33.8229,-118.2931,22537
Granite Bay,Placer,CA,38.7601,-121.1714,22439
Willowbrook,Los Angeles,CA,33.9199,-118.2362,22402
Millbrae,San Mateo,CA,37.5994,-122.4023,22394
Arvin,Kern,CA,35.1944,-118.8306,22155
Port Hueneme,Ventura,CA,34.1617,-119.2036,21926
Bloomington,San Bernardino,CA,34.0601,-117.4013,21783
Shafter,Kern,CA,35.4794,-119.2013,21734
Lennox,Los Angeles,CA,33.938,-118.3586,21329
Rancho San Diego,San Diego,CA,32.7624,-116.9197,21289
Duarte,Los Angeles,CA,34.161,-117.9504,21271
Dixon,Solano,CA,38.4468,-121.8249,20803
East Hemet,Riverside,CA,33.7301,-116.941,20679
South San Jose Hills,Los Angeles,CA,34.0123,-117.9041,20593
South El Monte,Los Angeles,CA,34.0493,-118.0484,20574
American Canyon,Napa,CA,38.1796,-122.2583,20475
Lomita,Los Angeles,CA,33.7933,-118.3175,20320
Ramona,San Diego,CA,33.0474,-116.8767,20260
Agoura Hills,Los Angeles,CA,34.151,-118.7608,20222
Rosamond,Kern,CA,34.8658,-118.2154,20028
La Cañada Flintridge,Los Angeles,CA,34.2097,-118.2002,20009
Orinda,Contra Costa,CA,37.8808,-122.1791,19926
Mead Valley,Riverside,CA,33.8333,-117.2852,19925
Cameron Park,El Dorado,CA,38.6737,-120.9872,19902
Albany,Alameda,CA,37.8898,-122.3018,19696
Casa de Oro-Mount Helix,San Diego,CA,32.764,-116.9687,19635
Prunedale,Monterey,CA,36.8064,-121.6555,19584
La Crescenta-Montrose,Los Angeles,CA,34.2322,-118.2353,19500
Stevenson Ranch,Los Angeles,CA,34.3894,-118.5885,19364
Hermosa Beach,Los Angeles,CA,33.8654,-118.3966,19320
Linda,Yuba,CA,39.1241,-121.5421,19314
Pinole,Contra Costa,CA,37.9931,-122.2834,19250
Red Bluff,Tehama,CA,40.1735,-122.2413,19039
Castaic,Los Angeles,CA,34.4818,-118.6317,18921
Rancho Mirage,Riverside,CA,33.7634,-116.4271,18528
Imperial,Imperial,CA,32.839,-115.5719,18120
Moraga,Contra Costa,CA,37.8439,-122.1225,17783
Greenfield,Monterey,CA,36.3232,-121.2451,17646
Santa Fe Springs,Los Angeles,CA,33.933,-118.0625,17630
Bostonia,San Diego,CA,32.8189,-116.9479,17530
Lakeport,Lake,CA,39.0392,-122.9218,17466
Nipomo,San Luis Obispo,CA,35.0323,-120.4991,17445
Live Oak,Santa Cruz,CA,36.986,-121.9804,17390
Woodcrest,Riverside,CA,33.8789,-117.3686,17310
Vincent,Los Angeles,CA,34.0982,-117.9238,17008
Valle Vista,Riverside,CA,33.7436,-116.8872,16879
Crescent City,Del Norte,CA,41.7727,-124.1902,16849
Rosedale,Kern,CA,35.3887,-119.2058,16737
East Rancho Dominguez,Los Angeles,CA,33.895,-118.1956,16734
Lindsay,Tulare,CA,36.2082,-119.0897,16713
McKinleyville,Humboldt,CA,40.9488,-124.0857,16612
El Segundo,Los Angeles,CA,33.9169,-118.4021,16610
Artesia,Los Angeles,CA,33.8676,-118.0806,16601
Solvang,Santa Barbara,CA,34.5936,-120.1401,16540
Cherryland,Alameda,CA,37.6792,-122.1038,16387
Ripon,San Joaquin,CA,37.7417,-121.131,16386
Coalinga,Fresno,CA,36.143,-120.3262,16307
Los Osos,San Luis Obispo,CA,35.3068,-120.8249,16292
Walnut Park,Los Angeles,CA,33.9683,-118.222,16034
Discovery Bay,Contra Costa,CA,37.9071,-121.6076,15981
Clearlake,Lake,CA,38.959,-122.633,15961
Fillmore,Ventura,CA,34.3989,-118.9181,15954
East San Gabriel,Los Angeles,CA,34.1198,-118.0807,15932
Avocado Heights,Los Angeles,CA,34.0381,-118.0026,15903
King City,Monterey,CA,36.2166,-121.133,15887
Parkway,Sacramento,CA,38.4993,-121.452,15885
Laguna Woods,Orange,CA,33.6098,-117.7299,15850
Stanford,Santa Clara,CA,37.4252,-122.1674,15668
McFarland,Kern,CA,35.6781,-119.2414,15651
Mountain House,San Joaquin,CA,37.774,-121.5452,15645
Parlier,Fresno,CA,36.6087,-119.5434,15613
Phelan,San Bernardino,CA,34.4398,-117.5248,15532
Rio Linda,Sacramento,CA,38.6876,-121.4418,15460
La Palma,Orange,CA,33.8504,-118.0406,15428
Pacific Grove,Monterey,CA,36.6192,-121.9255,15413
Alamo,Contra Costa,CA,37.8546,-122.013,15317
Alpine,San Diego,CA,32.8439,-116.7585,15233
Lamont,Kern,CA,35.2651,-118.9159,15222
Kerman,Fresno,CA,36.7249,-120.0625,15218
Coto de Caza,Orange,CA,33.5961,-117.5862,14931
Tehachapi,Kern,CA,35.1274,-118.4749,14928
Taft,Kern,CA,35.1267,-119.4242,14898
Livingston,Merced,CA,37.3875,-120.7248,14896
Salida,Stanislaus,CA,37.7145,-121.087,14658
North Fair Oaks,San Mateo,CA,37.4754,-122.2035,14547
Mill Valley,Marin,CA,37.9085,-122.5421,14259
Hawaiian Gardens,Los Angeles,CA,33.8303,-118.0728,14159
Lemon Hill,Sacramento,CA,38.5172,-121.4573,14096
El Sobrante,Riverside,CA,33.8724,-117.4625,13966
El Sobrante,Contra Costa,CA,37.9723,-122.296,13736
Oak Park,Ventura,CA,34.1849,-118.7669,13730
Muscoy,San Bernardino,CA,34.155,-117.3477,13726
North Auburn,Placer,CA,38.9306,-121.0821,13707
Sun Village,Los Angeles,CA,34.5596,-117.9559,13516
Avenal,Kings,CA,36.0311,-120.1162,13479
Grover Beach,San Luis Obispo,CA,35.1204,-120.6199,13459
Fortuna,Humboldt,CA,40.5862,-124.1419,13449
Twentynine Palms,San Bernardino,CA,34.1478,-116.0659,13423
Carpinteria,Santa Barbara,CA,34.3962,-119.5118,13385
Bonita,San Diego,CA,32.6652,-117.0295,13324
Big Bear City,San Bernardino,CA,34.2536,-116.7903,13312
Olivehurst,Yuba,CA,39.0817,-121.5549,13309
Solana Beach,San Diego,CA,32.9942,-117.2575,13296
Palos Verdes Estates,Los Angeles,CA,33.7871,-118.3976,13273
Lakeland Village,Riverside,CA,33.648,-117.3706,13170
San Marino,Los Angeles,CA,34.1224,-118.1132,13048
Magalia,Butte,CA,39.8228,-121.6078,12671
Commerce,Los Angeles,CA,33.9963,-118.1519,12661
Grand Terrace,San Bernardino,CA,34.0312,-117.3132,12584
Truckee,Nevada,CA,39.3455,-120.1848,12554
San Anselmo,Marin,CA,37.9821,-122.5699,12476
Marysville,Yuba,CA,39.1518,-121.5835,12476
Clayton,Contra Costa,CA,37.9403,-121.9301,12265
Blythe,Riverside,CA,33.622,-114.6188,12260
Larkspur,Marin,CA,37.9393,-122.5313,12254
Kingsburg,Fresno,CA,36.5245,-119.5602,12108
Emeryville,Alameda,CA,37.8382,-122.2932,12086
Diamond Springs,El Dorado,CA,38.692,-120.8391,11989
Healdsburg,Sonoma,CA,38.6229,-122.8651,11845
Malibu,Los Angeles,CA,34.0368,-118.7845,11820
